From Branch,To District,To City,Charge for 1st kg,Charge per additional 1kg
Mattegoda,Colombo,Colombo,250,50
Mattegoda,Colombo,Nugegoda,200,40
Mattegoda,Colombo,Maharagama,200,40
Mattegoda,Colombo,Homagama,180,40
Mattegoda,Gampaha,Gampaha,300,60
Mattegoda,Gampaha,Kadawatha,280,60
Mattegoda,Gampaha,Negombo,320,60
Mattegoda,Kalutara,Kalutara,350,70
Mattegoda,Kalutara,Panadura,300,60
Mattegoda,Kandy,Kandy,450,80
Mattegoda,Kandy,Peradeniya,450,80
Mattegoda,Matale,Matale,500,90
Mattegoda,Matale,Dambulla,520,90
Mattegoda,Nuwara Eliya,Nuwara Eliya,550,100
Mattegoda,Galle,Galle,500,90
Mattegoda,Galle,Hikkaduwa,480,90
Mattegoda,Matara,Matara,550,100
Mattegoda,Hambantota,Hambantota,600,100
Mattegoda,Hambantota,Tissamaharama,650,110
Mattegoda,Jaffna,Jaffna,800,150
Mattegoda,Kilinochchi,Kilinochchi,800,150
Mattegoda,Mannar,Mannar,800,150
Mattegoda,Vavuniya,Vavuniya,750,140
Mattegoda,Mullaitivu,Mullaitivu,850,160
Mattegoda,Batticaloa,Batticaloa,700,130
Mattegoda,Ampara,Ampara,700,130
Mattegoda,Trincomalee,Trincomalee,700,130
Mattegoda,Kurunegala,Kurunegala,400,80
Mattegoda,Puttalam,Puttalam,500,90
Mattegoda,Anuradhapura,Anuradhapura,600,110
Mattegoda,Polonnaruwa,Polonnaruwa,650,120
Mattegoda,Badulla,Badulla,600,110
Mattegoda,Monaragala,Monaragala,700,130
Mattegoda,Ratnapura,Ratnapura,450,90
Mattegoda,Kegalle,Kegalle,400,80
